iteration	mean	std_dev	min	max	median
100000	0.000	0.000	0.000	0.000	0.000
200000	0.100	0.300	0.000	1.000	0.000
300000	0.067	0.249	0.000	1.000	0.000
400000	0.000	0.000	0.000	0.000	0.000
500000	0.033	0.180	0.000	1.000	0.000
600000	0.000	0.000	0.000	0.000	0.000
700000	0.067	0.249	0.000	1.000	0.000
800000	0.133	0.340	0.000	1.000	0.000
900000	0.000	0.000	0.000	0.000	0.000
1000000	0.100	0.300	0.000	1.000	0.000
1100000	0.033	0.180	0.000	1.000	0.000
1200000	0.133	0.340	0.000	1.000	0.000
1300000	0.067	0.249	0.000	1.000	0.000
1400000	0.067	0.249	0.000	1.000	0.000
1500000	0.133	0.340	0.000	1.000	0.000
1600000	0.100	0.300	0.000	1.000	0.000
1700000	0.167	0.373	0.000	1.000	0.000
1800000	0.100	0.300	0.000	1.000	0.000
1900000	0.033	0.180	0.000	1.000	0.000
2000000	0.100	0.300	0.000	1.000	0.000
2100000	0.133	0.340	0.000	1.000	0.000
2200000	0.300	0.458	0.000	1.000	0.000
2300000	0.067	0.249	0.000	1.000	0.000
2400000	0.200	0.400	0.000	1.000	0.000
2500000	0.067	0.249	0.000	1.000	0.000
2600000	0.300	0.458	0.000	1.000	0.000
2700000	0.267	0.442	0.000	1.000	0.000
2800000	0.167	0.373	0.000	1.000	0.000
2900000	0.167	0.373	0.000	1.000	0.000
3000000	0.200	0.400	0.000	1.000	0.000
3100000	0.367	0.482	0.000	1.000	0.000
3200000	0.300	0.458	0.000	1.000	0.000
3300000	0.433	0.496	0.000	1.000	0.000
3400000	0.200	0.400	0.000	1.000	0.000
3500000	0.267	0.442	0.000	1.000	0.000
3600000	0.333	0.471	0.000	1.000	0.000
3700000	0.400	0.490	0.000	1.000	0.000
3800000	0.467	0.499	0.000	1.000	0.000
3900000	0.300	0.458	0.000	1.000	0.000
4000000	0.500	0.500	0.000	1.000	0.500
4100000	0.600	0.490	0.000	1.000	1.000
4200000	0.467	0.499	0.000	1.000	0.000
4300000	0.333	0.471	0.000	1.000	0.000
4400000	0.467	0.499	0.000	1.000	0.000
4500000	0.467	0.499	0.000	1.000	0.000
4600000	0.533	0.499	0.000	1.000	1.000
4700000	0.433	0.496	0.000	1.000	0.000
4800000	0.600	0.490	0.000	1.000	1.000
4900000	0.600	0.490	0.000	1.000	1.000
5000000	0.533	0.499	0.000	1.000	1.000
5100000	0.400	0.490	0.000	1.000	0.000
5200000	0.567	0.496	0.000	1.000	1.000
5300000	0.733	0.442	0.000	1.000	1.000
5400000	0.600	0.490	0.000	1.000	1.000
5500000	0.533	0.499	0.000	1.000	1.000
5600000	0.500	0.500	0.000	1.000	0.500
5700000	0.500	0.500	0.000	1.000	0.500
5800000	0.633	0.482	0.000	1.000	1.000
5900000	0.533	0.499	0.000	1.000	1.000
6000000	0.633	0.482	0.000	1.000	1.000
6100000	0.533	0.499	0.000	1.000	1.000
6200000	0.667	0.471	0.000	1.000	1.000
6300000	0.600	0.490	0.000	1.000	1.000
6400000	0.600	0.490	0.000	1.000	1.000
6500000	0.733	0.442	0.000	1.000	1.000
6600000	0.600	0.490	0.000	1.000	1.000
6700000	0.667	0.471	0.000	1.000	1.000
6800000	0.800	0.400	0.000	1.000	1.000
6900000	0.800	0.400	0.000	1.000	1.000
7000000	0.800	0.400	0.000	1.000	1.000
7100000	0.700	0.458	0.000	1.000	1.000
7200000	0.700	0.458	0.000	1.000	1.000
7300000	0.967	0.180	0.000	1.000	1.000
7400000	0.867	0.340	0.000	1.000	1.000
7500000	0.900	0.300	0.000	1.000	1.000
7600000	0.767	0.423	0.000	1.000	1.000
7700000	0.667	0.471	0.000	1.000	1.000
7800000	0.800	0.400	0.000	1.000	1.000
7900000	0.867	0.340	0.000	1.000	1.000
8000000	0.833	0.373	0.000	1.000	1.000
8100000	0.833	0.373	0.000	1.000	1.000
8200000	0.867	0.340	0.000	1.000	1.000
8300000	0.867	0.340	0.000	1.000	1.000
8400000	0.833	0.373	0.000	1.000	1.000
8500000	0.767	0.423	0.000	1.000	1.000
8600000	0.733	0.442	0.000	1.000	1.000
8700000	0.733	0.442	0.000	1.000	1.000
8800000	0.933	0.249	0.000	1.000	1.000
8900000	0.800	0.400	0.000	1.000	1.000
9000000	0.933	0.249	0.000	1.000	1.000
9100000	0.833	0.373	0.000	1.000	1.000
9200000	0.833	0.373	0.000	1.000	1.000
9300000	1.000	0.000	1.000	1.000	1.000
9400000	0.900	0.300	0.000	1.000	1.000
9500000	0.867	0.340	0.000	1.000	1.000
9600000	0.867	0.340	0.000	1.000	1.000
9700000	0.800	0.400	0.000	1.000	1.000
9800000	0.867	0.340	0.000	1.000	1.000
9900000	0.833	0.373	0.000	1.000	1.000
10000000	0.900	0.300	0.000	1.000	1.000
10100000	0.833	0.373	0.000	1.000	1.000
10200000	0.933	0.249	0.000	1.000	1.000
10300000	0.867	0.340	0.000	1.000	1.000
